State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9270722946792591	0.058411729509482556	0.013256440323353939	0.0	7.009705498246077E-5	8.189282518184013E-4	0.0	0.0	0.0	3.705101811034688E-4
2	0.048217622432740394	0.9241277412102324	0.003347586459546594	0.008751920472521485	6.954224549126466E-4	0.003419066147917999	0.006710197093800301	0.001859503265514048	0.0	0.002870940462814241
3	0.04281023831085286	0.01267739794460426	0.8433492540303618	0.08800411980040529	0.012875800084379038	2.2498001804671248E-4	0.0	0.0	0.0	5.820981135015192E-5
4	0.0	0.023265280647906568	0.06166951872183997	0.9036072433564425	0.010992843182019412	3.1765136042748783E-4	0.0	0.0	0.0	1.474627313640297E-4
5	5.344807412766751E-4	0.003243735860208148	0.017962610663663663	0.02123893375035991	0.9095134836955403	0.0475001547182448	0.0	0.0	0.0	6.600570706484578E-6
6	0.001932711410759889	0.009546509821424609	1.3276554201865372E-4	3.8204824464244775E-4	0.026444537173749783	0.8584706739549229	0.08359103914873021	0.0052230163498476504	0.009980286830748268	0.004296411523155578
7	0.0	0.0024513700484961967	0.0	0.0	0.0	0.010933080741898466	0.9784071752686816	9.62548098748096E-4	0.00244855577200113	0.004797270070174589
8	0.0	1.9856010854405352E-4	0.0	0.0	0.0	2.2487076753961488E-4	2.954384599853084E-4	0.993613065512646	0.004261890405641106	0.001406174745643948
9	0.0	0.0	0.0	0.0	0.0	0.0014417962783510488	0.002748771960000274	0.01457650849346578	0.976089401978742	0.005143521289440719
10	0.002401204877191775	0.025222680115280328	2.23400540843372E-4	2.9554560863089165E-4	2.8235689409649616E-4	0.013645094926417533	0.1180112011452512	0.10470191178314327	0.11159770194065587	0.6236189021684893
